date,state,HRC_votes,BS_votes,HRC_del,BS_del
2/1/2016,IA,,,23,21
2/9/2016,NH,95355,152193,9,15
2/20/2016,NV,,,20,15
2/27/2016,SC,272379,96498,39,14
3/1/2016,AL,309928,76399,44,9
3/1/2016,AR,146057,66236,22,10
3/1/2016,CO,49789,72846,25,41
3/1/2016,GA,545674,215797,73,29
3/1/2016,MA,606822,589803,67,46
3/1/2016,MN,78381,126229,47,44
3/1/2016,OK,139443,174228,18,22
3/1/2016,TN,245930,120800,51,23
3/1/2016,TX,936004,476547,168,75
3/1/2016,VA,504741,276370,75,33
3/1/2016,VT,18338,115900,4,22
3/5/2016,KS,12593,26637,14,23
3/5/2016,LA,221733,72276,44,14
3/5/2016,NE,14340,19120,13,16
3/6/2016,ME,1231,2226,12,18
3/8/2016,MI,581775,598943,73,67
3/8/2016,MS,187334,37748,34,7
3/15/2016,FL,1101414,568839,165,75
3/15/2016,IL,1039555,999494,103,78
3/15/2016,MO,312285,310711,47,37
3/15/2016,NC,622915,467018,68,49
3/15/2016,OH,696681,535395,95,63
3/22/2016,AZ,262459,192962,48,34
3/22/2016,ID,5065,18640,6,20
3/22/2016,UT,16166,62992,8,29
3/26/2016,AK,2146,8447,4,14
3/26/2016,HI,10125,23530,13,19
3/26/2016,WA,7140,19159,37,74
4/6/2016,WI,433739,570192,47,49
4/9/2016,WY,124,156,11,7
4/19/2016,NY,1133980,820056,180,108
4/26/2016,CT,170045,152379,43,27
4/26/2016,DE,55954,36662,23,9
4/26/2016,MD,573242,309990,77,36
4/26/2016,PA,935107,731881,126,83
4/26/2016,RI,52749,66993,20,13
5/3/2016,IN,303705,335074,46,44
5/10/2016,WV,86914,124700,19,18
5/17/2016,KY,212534,210623,30,27
5/17/2016,OR,269846,360829,32,39
6/7/2016,CA,2745302,2381722,320,221
6/7/2016,MT,55805,65156,15,12
6/7/2016,NJ,566247,328058,91,49
6/7/2016,NM,111334,104741,27,16
6/7/2016,ND,101,253,6,14
6/7/2016,SD,27047,25959,12,10
6/14/2016,DC,76704,20361,39,6
